year,vio,incarc_rate,pb1064,pw1064,pm1029,pop,avginc,density,stateid,shall
77,414.3999939,83,8.38487339,55.12290573,18.17441177,3.780402899,9.563148499,0.074552402,1,0
78,419.1000061,94,8.352101326,55.14366531,17.99407959,3.831837893,9.93200016,0.075566731,1,0
79,413.2999878,144,8.329574585,55.13585663,17.8393364,3.866247892,9.877027512,0.076245323,1,0
80,448.5,141,8.40838623,54.91258621,17.73419762,3.900367975,9.541427612,0.076828808,1,0
81,470.5,149,8.483434677,54.92512512,17.67371559,3.918530941,9.548351288,0.077186577,1,0
82,447.7000122,183,8.513999939,54.89620972,17.51051903,3.925229073,9.478919029,0.077318512,1,0
83,416,215,8.545607567,54.8393631,17.35089302,3.934103012,9.782999992,0.07749331,1,0
84,431.2000122,243,8.559511185,54.77875519,17.11902237,3.951826096,10.35719967,0.077842414,1,0
85,457.5,256,8.562801361,54.67899323,16.85874557,3.972520113,10.72585773,0.078250043,1,0
86,558,267,8.566520691,54.51790619,16.57609177,3.99156189,11.09161758,0.078625128,1,0
87,559.2000122,283,8.592103004,54.38770294,16.28229523,4.015256882,11.32382393,0.079091877,1,0
88,558.5999756,307,8.618144035,54.2350502,15.99270153,4.023848057,11.65496445,0.079261094,1,0
89,590.7999878,300,8.638031006,54.06622314,15.67523289,4.030223846,11.96389675,0.079386689,1,0
90,708.5999756,328,8.699673653,56.07015991,15.38070297,4.048508167,12.06398392,0.07977356,1,0
91,844.2000122,370,8.771640778,55.973526,15.18313885,4.091024876,12.08781624,0.080611326,1,0
92,871.7000122,394,8.877968788,55.80951691,15.02557564,4.139268875,12.39801979,0.081561953,1,0
93,780.4000244,407,8.972758293,55.66075897,14.86296368,4.193113804,12.39579964,0.08262293,1,0
94,683.7000122,431,9.047582626,55.50783157,14.67744255,4.232964993,12.67391968,0.083408177,1,0
95,632.4000244,450,9.094921112,55.33187485,14.5454874,4.262731075,12.87268162,0.083994694,1,0
96,565.4000244,471,9.149419785,55.31419754,14.41801548,4.290402889,12.90891457,0.084539965,1,0
97,564.5,492,9.206090927,55.15972137,14.30733395,4.320281029,13.12110901,0.085128695,1,0
98,512.0999756,500,9.257586479,55.25744629,14.16984081,4.351037025,13.51409817,0.085734718,1,0
99,490.2000122,519,9.33141613,55.2978096,14.00520229,4.36986208,13.73725605,0.086105652,1,0
77,443.2000122,63,7.835671902,62.1413002,22.35268593,0.403436989,20.29682541,0.000708281,2,0
78,441.8999939,75,7.945617676,62.65008926,22.0560627,0.404763997,19.04499245,0.000710611,2,0
79,491.1000061,127,8.057295799,63.09599304,21.97401428,0.402752995,18.1158886,0.00070708,2,0
80,436,133,8.123558044,62.72060013,21.55064583,0.405315012,17.90166283,0.000710041,2,0
81,615.7999878,143,8.153878212,62.80371094,21.01661301,0.418487996,18.07523155,0.000733118,2,0
82,623.7000122,170,8.149489403,62.89592743,20.3237915,0.449611008,18.96712685,0.00078764,2,0
83,613.7999878,194,8.114172935,62.86964035,19.54211235,0.488417,19.04500008,0.000855622,2,0
84,621.5999756,219,8.094755173,62.41427612,18.85155487,0.513702989,18.59021568,0.000899918,2,0
85,581.7999878,252,8.053830147,61.88262177,18.22919464,0.532491982,18.7052002,0.000932833,2,0
