euribor3m,job_retired,job_student,education_illiterate,month_apr,month_mar,month_may,poutcome_failure,poutcome_nonexistent,poutcome_success
1.327,0,0,0,0,0,1,0,1,0
0.754,0,0,0,0,0,0,0,1,0
4.856,0,0,0,0,0,1,0,1,0
4.856,0,0,0,0,0,1,0,1,0
4.961,0,0,0,0,0,0,0,1,0
1.405,0,0,0,1,0,0,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.855,0,0,0,0,0,1,0,1,0
1.25,0,0,0,0,0,1,1,0,0
4.1530000000000005,0,0,0,0,0,0,1,0,0
4.0760000000000005,0,0,0,0,0,0,1,0,0
0.985,1,0,0,0,0,0,1,0,0
4.961,0,0,0,0,0,0,0,1,0
4.966,0,0,0,0,0,0,0,1,0
1.327,0,0,0,0,0,1,0,1,0
4.859,0,0,0,0,0,1,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
1.3130000000000002,0,0,0,0,0,1,0,1,0
0.8759999999999999,0,0,0,0,0,0,1,0,0
0.654,0,0,0,0,1,0,1,0,0
0.639,0,0,0,0,1,0,0,0,1
0.741,0,0,0,0,0,0,0,1,0
4.96,0,0,0,0,0,0,0,1,0
1.41,0,0,0,1,0,0,1,0,0
1.291,0,0,0,0,0,1,0,1,0
4.864,0,0,0,0,0,0,0,1,0
0.883,0,0,0,0,0,0,1,0,0
4.959,0,0,0,0,0,0,0,1,0
4.8580000000000005,0,0,0,0,0,1,0,1,0
4.191,0,0,0,0,0,0,0,1,0
1.405,0,0,0,1,0,0,0,1,0
4.959,0,0,0,0,0,0,0,1,0
4.8580000000000005,0,0,0,0,0,1,0,1,0
4.8580000000000005,0,0,0,0,0,1,0,1,0
4.865,0,0,0,0,0,0,0,1,0
4.855,0,0,0,0,0,1,0,1,0
4.12,0,0,0,0,0,0,0,1,0
0.643,0,0,0,0,1,0,0,1,0
4.0760000000000005,0,0,0,0,0,0,0,1,0
4.855,0,0,0,0,0,1,0,1,0
1.291,0,0,0,0,0,1,0,1,0
1.365,0,0,0,1,0,0,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.865,0,0,0,0,0,0,0,1,0
1.281,0,0,0,0,0,1,1,0,0
4.962,0,0,0,0,0,0,0,1,0
4.968,0,0,0,0,0,0,0,1,0
4.021,0,0,0,0,0,0,0,1,0
4.855,0,0,0,0,0,1,0,1,0
1.044,0,0,0,0,0,0,0,1,0
4.859,0,0,0,0,0,1,0,1,0
4.961,0,0,0,0,0,0,0,1,0
1.04,0,0,0,0,0,0,0,0,1
4.962,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.856,0,0,0,0,0,1,0,1,0
4.966,0,0,0,0,0,0,0,1,0
0.879,0,0,0,0,0,0,0,0,1
4.962,0,0,0,0,0,0,0,1,0
4.859,0,0,0,0,0,1,0,1,0
1.0290000000000001,1,0,0,0,0,0,0,1,0
4.856,0,0,0,0,0,1,0,1,0
4.1530000000000005,0,0,0,0,0,0,0,1,0
4.968,0,0,0,0,0,0,0,1,0
0.851,0,0,0,0,0,0,0,1,0
1.2990000000000002,0,0,0,0,0,1,1,0,0
1.344,0,0,0,0,0,1,1,0,0
4.959,0,0,0,0,0,0,0,1,0
1.334,0,0,0,0,0,1,0,1,0
4.1530000000000005,0,0,0,0,0,0,0,1,0
4.963,0,0,0,0,0,0,0,1,0
0.893,0,0,0,0,0,0,0,1,0
4.958,0,0,0,0,0,0,0,1,0
1.663,1,0,0,0,1,0,0,1,0
4.865,0,0,0,0,0,0,0,1,0
1.405,0,0,0,1,0,0,0,1,0
4.12,0,0,0,0,0,0,0,1,0
4.957,0,0,0,0,0,0,0,1,0
4.963,0,0,0,0,0,0,0,1,0
1.3130000000000002,0,0,0,0,0,1,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.864,0,0,0,0,0,0,0,1,0
0.685,0,0,0,0,0,1,0,0,1
4.968,0,0,0,0,0,0,0,1,0
4.966,0,0,0,0,0,0,0,1,0
1.453,1,0,0,1,0,0,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.96,0,0,0,0,0,0,0,1,0
1.266,0,0,0,0,0,1,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.966,0,0,0,0,0,0,0,1,0
1.3130000000000002,0,0,0,0,0,1,0,1,0
1.327,0,0,0,0,0,1,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.961,0,0,0,0,0,0,0,1,0
1.354,0,0,0,0,0,1,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
0.6990000000000001,0,0,0,0,0,1,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.965,0,0,0,0,0,0,0,1,0
4.965,0,0,0,0,0,0,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.966,0,0,0,0,0,0,0,1,0
0.825,0,1,0,0,0,0,0,1,0
1.266,0,0,0,0,0,0,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
1.25,0,0,0,0,0,1,1,0,0
4.864,0,0,0,0,0,0,0,1,0
1.405,0,0,0,1,0,0,0,1,0
4.191,0,0,0,0,0,0,0,1,0
4.855,0,0,0,0,0,1,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.855,0,0,0,0,0,1,0,1,0
4.864,0,0,0,0,0,0,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.8580000000000005,0,0,0,0,0,1,0,1,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.8660000000000005,0,0,0,0,0,0,0,1,0
4.859,0,0,0,0,0,1,0,1,0
4.968,0,0,0,0,0,0,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.12,0,0,0,0,0,0,0,1,0
4.864,0,0,0,0,0,0,0,1,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
4.856,1,0,0,0,0,1,0,1,0
1.405,0,0,0,1,0,0,0,1,0
0.879,0,0,0,0,0,0,1,0,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
1.244,0,0,0,0,0,1,0,1,0
0.672,0,0,0,0,0,1,1,0,0
1.405,0,0,0,1,0,0,1,0,0
4.957,0,0,0,0,0,0,0,1,0
1.41,0,0,0,1,0,0,1,0,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
4.961,0,0,0,0,0,0,0,1,0
1.327,0,0,0,0,0,1,0,1,0
4.965,0,0,0,0,0,0,0,1,0
4.961,0,0,0,0,0,0,0,1,0
0.965,1,0,0,0,0,0,0,1,0
4.968,0,0,0,0,0,0,0,1,0
4.859,0,0,0,0,0,1,0,1,0
4.855,0,0,0,0,0,1,0,1,0
4.857,1,0,0,0,0,1,0,1,0
1.26,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
0.84,0,0,0,0,0,0,1,0,0
1.2990000000000002,0,0,0,0,0,1,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
1.334,0,0,0,0,0,1,1,0,0
4.962,0,1,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
1.291,0,0,0,0,0,1,0,1,0
4.1530000000000005,0,0,0,0,0,0,0,1,0
1.405,0,0,0,1,0,0,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.959,0,0,0,0,0,0,0,1,0
4.965,0,0,0,0,0,0,0,1,0
1.405,0,0,0,1,0,0,0,1,0
4.859,0,1,0,0,0,1,0,1,0
4.963,0,0,0,0,0,0,0,1,0
1.405,0,1,0,1,0,0,0,1,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
4.967,0,0,0,0,0,0,0,1,0
4.859,0,0,0,0,0,1,0,1,0
4.96,0,0,0,0,0,0,0,1,0
4.864,0,0,0,0,0,0,0,1,0
4.855,0,0,0,0,0,1,0,1,0
1.266,0,0,0,0,0,1,0,1,0
4.96,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
1.244,0,1,0,0,0,1,0,1,0
1.365,0,0,0,1,0,0,0,1,0
4.859,0,0,0,0,0,1,0,1,0
1.453,0,0,0,1,0,0,0,1,0
0.879,0,0,0,0,0,0,0,0,1
4.864,0,0,0,0,0,0,0,1,0
4.967,0,0,0,0,0,0,0,1,0
1.52,0,0,0,0,1,0,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.957,0,0,0,0,0,0,0,1,0
4.12,0,0,0,0,0,0,1,0,0
4.0760000000000005,0,0,0,0,0,0,0,1,0
4.966,0,0,0,0,0,0,0,1,0
4.855,0,0,0,0,0,1,0,1,0
1.266,0,0,0,0,0,1,0,1,0
4.86,0,0,0,0,0,1,0,1,0
4.96,0,0,0,0,0,0,0,1,0
4.859,0,0,0,0,0,1,0,1,0
4.965,0,0,0,0,0,0,0,1,0
0.652,0,0,0,0,1,0,0,1,0
1.281,0,0,0,0,0,1,0,1,0
4.959,0,0,0,0,0,0,0,1,0
4.864,0,0,0,0,0,0,0,1,0
4.191,0,0,0,0,0,0,0,1,0
4.957,0,0,0,0,0,0,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.021,0,0,0,0,0,0,1,0,0
1.327,0,0,0,0,0,1,0,1,0
4.8580000000000005,0,0,0,0,0,1,0,1,0
4.12,0,0,0,0,0,0,1,0,0
1.244,0,0,0,0,0,1,1,0,0
0.883,0,0,0,0,0,0,0,1,0
4.865,0,0,0,0,0,0,0,1,0
1.3130000000000002,0,0,0,0,0,1,0,1,0
4.0760000000000005,0,0,0,0,0,0,0,1,0
4.191,0,0,0,0,0,0,0,1,0
4.856,0,0,0,0,0,1,0,1,0
4.965,0,0,0,0,0,0,0,1,0
1.266,0,0,0,0,0,1,1,0,0
1.344,0,0,0,0,0,1,0,1,0
4.857,0,0,0,0,0,1,0,1,0
1.281,0,0,0,0,0,1,1,0,0
1.327,0,0,0,0,0,1,0,1,0
1.291,0,0,0,0,0,1,0,1,0
4.963,0,0,0,0,0,0,0,1,0
1.327,0,0,0,0,0,1,0,1,0
1.281,0,0,0,0,0,1,0,1,0
4.957,0,0,0,0,0,0,0,1,0
4.191,0,0,0,0,0,0,0,1,0
1.2990000000000002,0,0,0,0,0,1,0,1,0
4.855,0,0,0,0,0,1,0,1,0
0.879,0,0,0,0,0,0,0,0,1
4.9639999999999995,0,0,0,0,0,0,0,1,0
1.405,0,0,0,1,0,0,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.962,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
1.266,0,0,0,0,0,1,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.968,0,0,0,0,0,0,0,1,0
4.968,0,0,0,0,0,0,0,1,0
1.072,1,0,0,0,0,0,1,0,0
0.885,0,1,0,0,0,0,0,1,0
4.966,0,0,0,0,0,0,0,1,0
1.291,0,0,0,0,0,1,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.191,0,0,0,0,0,0,0,1,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
4.9639999999999995,0,0,0,0,0,0,0,1,0
4.965,0,0,0,0,0,0,0,1,0
0.7879999999999999,0,1,0,0,0,0,0,1,0
4.86,0,0,0,0,0,1,0,1,0
4.959,1,0,0,0,0,0,0,1,0
4.859,0,0,0,0,0,1,0,1,0
0.752,1,0,0,0,0,0,0,1,0
4.963,0,0,0,0,0,0,0,1,0
4.965,0,0,0,0,0,0,0,1,0
4.965,0,0,0,0,0,0,0,1,0
4.191,0,0,0,0,0,0,0,1,0
4.8580000000000005,0,0,0,0,0,1,0,1,0
1.334,0,0,0,0,0,1,1,0,0
4.962,0,0,0,0,0,0,0,1,0
4.857,0,0,0,0,0,1,0,1,0
4.961,0,0,0,0,0,0,0,1,0
4.86,0,0,0,0,0,1,0,1,0
0.7120000000000001,1,0,0,0,0,0,1,0,0
1.281,0,0,0,0,0,1,1,0,0
4.855,0,0,0,0,0,1,0,1,0
